,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
CT,1723,10992,12715
DC,328,901,1229
DE,230,1389,1619
FL,48181,82330,130511
GA,12357,42370,54727
HI,4949,7011,11960
IA,5328,17272,22600
ID,3016,4364,7380
IL,59645,97578,157223
IN,6028,21402,27430
KS,6830,17117,23947
KY,23245,26314,49559
LA,20690,28483,49173
MA,2717,16615,19332
MD,2615,13471,16086
ME,265,1111,1376
MI,49588,68954,118542
MN,15876,30952,46828
MO,14642,34772,49414
MS,8488,20946,29434
MT,5095,4396,9491
NC,47274,53296,100570
ND,2906,4256,7162
NE,4895,13452,18347
NH,667,2521,3188
NJ,6875,23453,30328
NM,4094,9270,13364
NV,2957,6394,9351
NY,8381,50298,58679
OH,23672,68011,91683
OK,10164,20711,30875
OR,6172,8002,14174
PA,4592,25097,29689
RI,327,1607,1934
SC,5762,19462,25224
SD,1622,4992,6614
TN,27335,41285,68620
TX,34549,90454,125003
UT,25863,14508,40371
VA,3617,21241,24858
VT,493,1689,2182
WA,5631,11335,16966
WI,12943,33726,46669
WV,3447,7842,11289
WY,3249,2815,6064
Total,640954,1282637,1923591

,PSE: Student enrolled in college in Fall 2015,,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,250,238,488
AL,10408,6213,16621
AR,3356,3890,7246
AZ,5020,4475,9495
CA,6549,23058,29607
CO,8182,4784,12966
CT,162,796,958
DC,49,127,176
DE,37,131,168
FL,15517,16031,31548
GA,3698,6680,10378
HI,1465,1268,2733
IA,978,2553,3531
ID,420,610,1030
IL,19375,18576,37951
IN,1552,2978,4530
KS,1710,2504,4214
KY,9896,5864,15760
LA,8807,6747,15554
MA,215,1115,1330
MD,367,1161,1528
ME,28,53,81
MI,16051,11611,27662
MN,2829,4135,6964
MO,4093,5999,10092
MS,3113,4795,7908
MT,1387,648,2035
NC,16979,10750,27729
ND,641,502,1143
NE,1320,2295,3615
NH,44,162,206
NJ,1222,2471,3693
NM,1448,2324,3772
NV,1029,1467,2496
NY,944,5140,6084
OH,6788,10678,17466
OK,3063,4162,7225
OR,1364,1188,2552
PA,737,2773,3510
RI,67,140,207
SC,1529,3193,4722
SD,415,772,1187
TN,10097,8900,18997
TX,10293,16761,27054
UT,5922,2092,8014
VA,524,1952,2476
VT,68,175,243
WA,1263,1436,2699
WI,3438,5921,9359
WV,1237,1895,3132
WY,943,529,1472
Total,196889,224718,421607

,PSE: Student enrolled in college in Fall 2015,,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,206,196,402
AL,11002,8468,19470
AR,3712,4880,8592
AZ,4569,4380,8949
CA,6082,21497,27579
CO,7488,4869,12357
CT,146,706,852
DC,54,154,208
DE,33,110,143
FL,17276,20206,37482
GA,4475,9038,13513
HI,1547,1544,3091
IA,897,2033,2930
ID,469,653,1122
IL,18277,18808,37085
IN,1505,3085,4590
KS,1712,2732,4444
KY,9459,6678,16137
LA,8271,7604,15875
MA,231,1129,1360
MD,417,1268,1685
ME,31,91,122
MI,16141,13425,29566
MN,2512,3577,6089
MO,4485,6593,11078
MS,3935,7541,11476
MT,1365,763,2128
NC,16926,13137,30063
ND,618,443,1061
NE,1408,2320,3728
NH,42,152,194
NJ,1295,2124,3419
NM,1582,2596,4178
NV,891,1296,2187
NY,1119,5530,6649
OH,6778,10797,17575
OK,3040,4505,7545
OR,1311,1226,2537
PA,700,2376,3076
RI,54,142,196
SC,1824,4201,6025
SD,466,703,1169
TN,9710,10078,19788
TX,9929,17186,27115
UT,5411,2187,7598
VA,595,2246,2841
VT,74,171,245
WA,1235,1334,2569
WI,3170,4563,7733
WV,1208,1820,3028
WY,892,494,1386
