,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
KY-4,1803,506,2309
KY-5,2844,557,3401
KY-6,1670,383,2053
LA-1,1038,290,1328
LA-2,3781,537,4318
LA-3,2332,390,2722
LA-4,2076,321,2397
LA-5,2981,370,3351
LA-6,1263,262,1525
MA-1,72,44,116
MA-2,89,58,147
MA-3,104,64,168
MA-4,76,76,152
MA-5,103,77,180
MA-6,105,58,163
MA-7,160,65,225
MA-8,83,47,130
MA-9,40,39,79
MD-1,67,49,116
MD-2,195,68,263
MD-3,101,22,123
MD-4,304,53,357
MD-5,169,41,210
MD-6,161,43,204
MD-7,37,10,47
MD-8,262,102,364
ME-1,37,25,62
ME-2,24,35,59
MI-1,1499,436,1935
MI-10,1643,412,2055
MI-11,675,244,919
MI-12,2113,473,2586
MI-13,1973,201,2174
MI-14,3592,316,3908
MI-2,1291,329,1620
MI-3,2347,503,2850
MI-4,1776,402,2178
MI-5,1361,180,1541
MI-6,1625,327,1952
MI-7,1110,287,1397
MI-8,1551,435,1986
MI-9,1829,397,2226
MN-1,507,224,731
MN-2,447,241,688
MN-3,308,165,473
MN-4,797,179,976
MN-5,976,254,1230
MN-6,477,309,786
MN-7,382,196,578
MN-8,377,246,623
MO-1,1808,212,2020
MO-2,599,294,893
MO-3,1179,554,1733
MO-4,876,378,1254
MO-5,794,143,937
MO-6,1181,450,1631
MO-7,845,404,1249
MO-8,992,331,1323
MS-1,2452,330,2782
MS-2,2549,170,2719
MS-3,2942,313,3255
MS-4,2248,399,2647
MT-A,1613,515,2128
NC-1,1818,173,1991
NC-10,2492,429,2921
NC-11,1718,343,2061
NC-12,780,87,867
NC-13,297,55,352
NC-2,601,92,693
NC-3,2893,451,3344
NC-4,3471,562,4033
NC-5,951,207,1158
NC-6,2699,429,3128
NC-7,2267,291,2558
NC-8,3075,301,3376
NC-9,2581,544,3125
ND-A,862,199,1061
NE-1,847,283,1130
NE-2,1054,228,1282
NE-3,976,318,1294
NH-1,52,53,105
NH-2,45,43,88
NJ-1,140,24,164
NJ-10,677,75,752
NJ-11,56,55,111
NJ-12,76,41,117
NJ-2,126,64,190
NJ-3,75,34,109
NJ-4,125,63,188
NJ-5,104,71,175
NJ-6,146,72,218
NJ-7,149,98,247
NJ-8,752,119,871
NJ-9,179,80,259
NM-1,652,223,875
NM-2,1804,292,2096
NM-3,937,157,1094
NV-1,178,43,221
NV-2,500,172,672
NV-3,364,167,531
NV-4,589,117,706
NY-1,108,91,199
NY-10,35,55,90
NY-11,172,194,366
NY-12,12,15,27
NY-13,304,103,407
NY-14,151,185,336
NY-15,279,68,347
NY-16,154,64,218
NY-17,138,111,249
NY-18,142,97,239
NY-19,78,68,146
NY-2,163,107,270
NY-20,66,71,137
NY-21,142,85,227
NY-22,141,94,235
NY-23,100,102,202
NY-24,114,81,195
NY-25,112,108,220
NY-26,179,86,265
NY-27,88,108,196
NY-3,183,213,396
NY-4,117,66,183
NY-5,280,154,434
NY-6,73,112,185
NY-7,236,198,434
NY-8,11,5,16
NY-9,292,122,414
OH-1,1505,467,1972
OH-10,605,203,808
OH-11,902,96,998
OH-12,632,279,911
OH-13,1115,322,1437
OH-14,645,283,928
OH-15,411,183,594
OH-16,868,373,1241
OH-2,399,151,550
OH-3,1373,371,1744
OH-4,635,243,878
OH-5,518,275,793
OH-6,813,257,1070
OH-7,1066,532,1598
OH-8,679,280,959
OH-9,840,191,1031
OK-1,1257,369,1626
OK-2,1369,330,1699
OK-3,1000,254,1254
OK-4,1135,336,1471
OK-5,1138,290,1428
OR-1,678,211,889
OR-2,328,120,448
OR-3,430,159,589
OR-4,250,84,334
OR-5,188,56,244
PA-1,100,21,121
PA-10,97,46,143
PA-11,32,31,63
PA-12,104,64,168
PA-13,269,119,388
PA-14,76,15,91
PA-15,124,64,188
PA-16,53,51,104
PA-17,57,27,84
PA-18,143,100,243
PA-2,313,69,382
PA-3,173,48,221
PA-4,81,45,126
PA-5,148,46,194
PA-6,126,83,209
PA-7,74,30,104
PA-8,77,58,135
PA-9,64,43,107
RI-1,44,16,60
RI-2,91,38,129
SC-1,325,96,421
SC-2,931,186,1117
SC-3,439,149,588
SC-4,537,179,716
SC-5,516,124,640
SC-6,1239,192,1431
SC-7,864,185,1049
SD-A,839,330,1169
TN-1,1399,383,1782
TN-2,1230,306,1536
TN-3,2152,403,2555
TN-4,1112,215,1327
TN-5,1639,279,1918
TN-6,1837,405,2242
TN-7,1955,463,2418
TN-8,1701,284,1985
TN-9,3551,316,3867
TX-1,503,115,618
TX-10,100,15,115
TX-11,351,88,439
TX-12,123,57,180
TX-13,483,136,619
TX-14,239,60,299
TX-15,2604,399,3003
TX-16,672,164,836
TX-17,407,110,517
TX-18,130,40,170
TX-19,825,183,1008
TX-2,433,146,579
TX-20,73,23,96
TX-21,191,105,296
TX-22,631,258,889
TX-23,893,226,1119
TX-24,677,207,884
TX-25,236,103,339
TX-26,471,223,694
TX-27,345,78,423
TX-28,821,101,922
TX-29,689,129,818
TX-3,475,337,812
TX-30,544,54,598
TX-31,412,174,586
TX-32,275,77,352
TX-33,1043,114,1157
TX-34,1002,191,1193
TX-35,791,240,1031
TX-36,218,62,280
TX-4,806,230,1036
TX-5,1761,319,2080
TX-6,889,232,1121
TX-7,661,284,945
TX-8,291,117,408
TX-9,248,80,328
UT-1,1287,253,1540
UT-2,2458,481,2939
UT-3,1658,433,2091
UT-4,659,133,792
VA-1,112,67,179
VA-10,180,125,305
VA-11,141,59,200
VA-2,107,39,146
VA-3,567,100,667
VA-4,210,79,289
VA-5,144,48,192
VA-6,162,96,258
VA-7,110,67,177
VA-8,173,75,248
VA-9,115,55,170
VT-A,155,90,245
WA-1,141,77,218
WA-10,361,75,436
WA-2,98,44,142
WA-3,121,55,176
WA-4,533,67,600
WA-5,123,63,186
WA-6,99,28,127
WA-7,105,62,167
WA-8,78,17,95
WA-9,287,124,411
WI-1,543,202,745
WI-2,729,295,1024
WI-3,430,253,683
WI-4,1824,344,2168
WI-5,391,234,625
WI-6,368,201,569
WI-7,619,353,972
WI-8,583,319,902
WV-1,561,215,776
WV-2,761,230,991
WV-3,979,229,1208
WY-A,1079,307,1386
,3310,565,3875
Total,352576,87654,440230

,PSE: Student enrolled in college in Fall 2015,,
Student: Full Congressional district,No,Yes,Total
,N,N,N
AK-A,1023,1882,2905
AL-1,3914,4005,7919
AL-2,2885,3149,6034
AL-3,4070,4349,8419
AL-4,2659,3123,5782
AL-5,3782,4908,8690
AL-6,3038,3986,7024
AL-7,5124,5924,11048
AR-1,2230,3295,5525
AR-2,2614,5190,7804
AR-3,1776,3539,5315
AR-4,2925,5168,8093
AZ-1,1998,2224,4222
AZ-2,2086,2084,4170
AZ-3,750,855,1605
AZ-4,1483,1875,3358
AZ-5,1451,2634,4085
AZ-6,1265,3603,4868
AZ-7,3580,3023,6603
AZ-8,1613,2590,4203
AZ-9,666,991,1657
CA-1,309,1068,1377
CA-10,244,1660,1904
CA-11,679,4028,4707
CA-12,204,1014,1218
CA-13,393,1797,2190
CA-14,589,3281,3870
CA-15,177,1316,1493
CA-16,427,2330,2757
CA-17,562,3363,3925
CA-18,472,2439,2911
CA-19,190,708,898
CA-2,237,1306,1543
CA-20,300,1749,2049
CA-21,478,1975,2453
CA-22,187,1197,1384
CA-23,55,276,331
CA-24,375,2013,2388
CA-25,402,2172,2574
CA-26,225,1612,1837
CA-27,534,2692,3226
CA-28,633,1417,2050
CA-29,163,311,474
CA-3,169,1003,1172
CA-30,789,2684,3473
CA-31,552,2354,2906
CA-32,151,788,939
CA-33,493,2276,2769
CA-34,379,625,1004
CA-35,362,1617,1979
CA-36,251,939,1190
CA-37,1334,2762,4096
CA-38,693,2582,3275
CA-39,386,2404,2790
CA-4,312,2198,2510
CA-40,588,952,1540
CA-41,673,2109,2782
CA-42,340,1446,1786
CA-43,306,1146,1452
CA-44,974,1815,2789
CA-45,730,4515,5245
CA-46,33,233,266
CA-47,565,2943,3508
CA-48,414,2195,2609
CA-49,569,2400,2969
CA-5,296,1687,1983
CA-50,681,3973,4654
CA-51,184,988,1172
CA-52,186,1328,1514
CA-53,411,2531,2942
CA-6,635,3066,3701
CA-7,243,1591,1834
CA-8,198,837,1035
CA-9,264,1507,1771
CO-1,3521,2735,6256
CO-2,3283,4511,7794
CO-3,3751,3463,7214
CO-4,3262,3397,6659
CO-5,4442,4396,8838
CO-6,6053,7707,13760
CO-7,3009,3118,6127
CT-1,256,1711,1967
CT-2,258,2043,2301
CT-3,274,1836,2110
CT-4,551,3364,3915
CT-5,373,2014,2387
DC-A,328,901,1229
DE-A,230,1389,1619
FL-1,2069,3323,5392
FL-10,3694,5464,9158
FL-11,1465,2058,3523
FL-12,1275,3068,4343
FL-13,766,1601,2367
FL-14,2364,3597,5961
FL-15,1436,2397,3833
FL-16,1515,2599,4114
FL-17,932,1263,2195
FL-18,1328,2255,3583
FL-19,1565,2579,4144
FL-2,1529,2400,3929
FL-20,3355,4583,7938
FL-21,2447,5459,7906
FL-22,473,988,1461
FL-23,1948,4198,6146
FL-24,1334,1535,2869
FL-25,2832,5548,8380
FL-26,1729,4322,6051
FL-27,1043,2155,3198
FL-3,1646,2208,3854
FL-4,1087,2039,3126
FL-5,2892,2904,5796
FL-6,1615,3371,4986
FL-7,1430,3556,4986
FL-8,2403,4168,6571
FL-9,1661,2274,3935
GA-1,651,2037,2688
GA-10,726,2794,3520
GA-11,348,1529,1877
GA-12,725,2514,3239
GA-13,1955,5279,7234
GA-14,1072,3091,4163
GA-2,952,2912,3864
GA-3,678,2186,2864
GA-4,1598,5358,6956
GA-5,613,1482,2095
GA-6,1141,6731,7872
GA-7,231,816,1047
GA-8,432,1413,1845
GA-9,1176,4092,5268
HI-1,2174,3876,6050
HI-2,2661,3052,5713
IA-1,1014,4089,5103
IA-2,1335,3890,5225
IA-3,2059,5008,7067
IA-4,858,4258,5116
ID-1,902,1671,2573
ID-2,2108,2685,4793
IL-1,1454,1444,2898
IL-10,576,2028,2604
IL-11,6050,11191,17241
IL-12,3186,4350,7536
IL-13,2727,4199,6926
IL-14,5731,11983,17714
IL-15,3819,5578,9397
IL-16,3908,4768,8676
IL-17,2936,4142,7078
IL-18,1811,3201,5012
IL-2,5794,7135,12929
IL-3,2744,5480,8224
IL-4,8570,10541,19111
IL-5,500,838,1338
IL-6,322,1073,1395
IL-7,1053,1187,2240
IL-8,5341,11568,16909
IL-9,2258,6456,8714
IN-1,1669,2944,4613
IN-2,411,1617,2028
IN-3,427,2273,2700
IN-4,339,1730,2069
IN-5,849,5123,5972
IN-6,479,1746,2225
IN-7,509,1510,2019
IN-8,390,1973,2363
IN-9,913,2450,3363
KS-1,1737,4190,5927
KS-2,1181,3371,4552
KS-3,2322,5508,7830
KS-4,1564,4039,5603
KY-1,3323,3416,6739
KY-2,5869,6100,11969
KY-3,2689,2962,5651
KY-4,4024,6205,10229
KY-5,3900,3669,7569
KY-6,3163,3808,6971
LA-1,1823,3393,5216
LA-2,5081,7405,12486
LA-3,3798,4802,8600
LA-4,3057,3802,6859
LA-5,4293,4958,9251
LA-6,2292,3847,6139
MA-1,129,1089,1218
MA-2,226,1565,1791
MA-3,351,2220,2571
MA-4,492,2904,3396
MA-5,530,2683,3213
MA-6,393,2430,2823
MA-7,200,841,1041
MA-8,221,1597,1818
MA-9,166,1254,1420
MD-1,147,1018,1165
MD-2,336,2052,2388
MD-3,190,1099,1289
MD-4,533,2279,2812
MD-5,340,1596,1936
MD-6,201,906,1107
MD-7,76,488,564
MD-8,784,4016,4800
ME-1,152,829,981
ME-2,110,278,388
MI-1,3224,3963,7187
MI-10,3632,5919,9551
MI-11,1880,5253,7133
MI-12,3926,5788,9714
MI-13,2497,2344,4841
MI-14,4668,4989,9657
MI-2,3219,4112,7331
MI-3,5815,7033,12848
MI-4,3772,4565,8337
MI-5,2014,2173,4187
MI-6,3384,4044,7428
MI-7,2607,3597,6204
MI-8,4237,8227,12464
MI-9,4229,6595,10824
MN-1,1392,3465,4857
MN-2,2033,5015,7048
MN-3,1413,4585,5998
MN-4,2467,3378,5845
MN-5,2325,3859,6184
MN-6,2679,6043,8722
MN-7,1691,2610,4301
MN-8,1805,1981,3786
MO-1,2084,2921,5005
MO-2,1558,5939,7497
MO-3,2520,8025,10545
MO-4,1812,3929,5741
MO-5,1175,1837,3012
MO-6,2326,5876,8202
MO-7,1718,3303,5021
MO-8,1341,2881,4222
MS-1,2188,5571,7759
MS-2,1605,3662,5267
MS-3,2459,6319,8778
MS-4,2180,5257,7437
MT-A,5095,4396,9491
NC-1,3039,2327,5366
NC-10,4256,4795,9051
NC-11,2592,2740,5332
NC-12,1158,1224,2382
NC-13,924,1395,2319
NC-2,1183,1479,2662
NC-3,5080,4546,9626
NC-4,7513,9288,16801
NC-5,1546,2144,3690
NC-6,4935,5627,10562
NC-7,3903,3937,7840
NC-8,4551,4460,9011
NC-9,5767,8898,14665
ND-A,2906,4256,7162
NE-1,1762,4141,5903
NE-2,1668,5239,6907
NE-3,1413,4048,5461
NH-1,352,1414,1766
NH-2,308,1100,1408
NJ-1,302,862,1164
NJ-10,818,1445,2263
NJ-11,465,2441,2906
NJ-12,550,1433,1983
NJ-2,317,1291,1608
NJ-3,276,1408,1684
NJ-4,396,2011,2407
NJ-5,672,3320,3992
NJ-6,615,1859,2474
NJ-7,1064,4733,5797
NJ-8,886,1200,2086
NJ-9,486,1414,1900
NM-1,910,3077,3987
NM-2,1869,3570,5439
NM-3,1194,2368,3562
NV-1,200,302,502
NV-2,945,2147,3092
NV-3,733,2261,2994
NV-4,970,1601,2571
NY-1,395,2434,2829
NY-10,90,385,475
NY-11,240,1732,1972
NY-12,122,436,558
NY-13,388,1365,1753
NY-14,188,960,1148
NY-15,280,924,1204
NY-16,292,1611,1903
NY-17,605,3540,4145
NY-18,512,3172,3684
NY-19,210,1085,1295
NY-2,399,3242,3641
NY-20,334,2374,2708
NY-21,293,1415,1708
NY-22,276,1692,1968
NY-23,248,1383,1631
NY-24,288,1904,2192
NY-25,318,2567,2885
NY-26,241,2044,2285
NY-27,301,2186,2487
NY-3,866,6529,7395
NY-4,403,2529,2932
NY-5,349,1687,2036
NY-6,113,639,752
NY-7,241,1152,1393
NY-8,13,75,88
NY-9,359,1165,1524
OH-1,2927,8022,10949
OH-10,794,2842,3636
OH-11,1274,1799,3073
OH-12,1736,5734,7470
OH-13,1688,4334,6022
OH-14,1242,5372,6614
OH-15,773,2215,2988
OH-16,1542,5095,6637
OH-2,811,2420,3231
OH-3,2185,5741,7926
OH-4,1209,3396,4605
OH-5,1302,3793,5095
OH-6,1185,3014,4199
OH-7,2165,7151,9316
OH-8,1430,4537,5967
OH-9,1219,2457,3676
OK-1,2490,5171,7661
OK-2,1911,3251,5162
OK-3,1809,3348,5157
OK-4,2127,4695,6822
OK-5,1731,4083,5814
OR-1,2434,3033,5467
OR-2,940,1050,1990
OR-3,1548,2442,3990
OR-4,813,601,1414
OR-5,356,791,1147
PA-1,115,378,493
PA-10,181,1088,1269
PA-11,80,644,724
PA-12,269,1647,1916
PA-13,408,2387,2795
PA-14,103,411,514
PA-15,212,1572,1784
PA-16,238,1204,1442
PA-17,87,499,586
PA-18,420,2756,3176
PA-2,548,1587,2135
PA-3,349,1593,1942
PA-4,272,1314,1586
PA-5,279,962,1241
PA-6,502,3351,3853
PA-7,112,887,999
PA-8,213,2153,2366
PA-9,139,607,746
RI-1,135,675,810
RI-2,187,912,1099
SC-1,657,1767,2424
SC-2,915,3974,4889
SC-3,568,1998,2566
SC-4,886,3485,4371
SC-5,511,2131,2642
SC-6,1488,3483,4971
SC-7,682,2515,3197
SD-A,1622,4992,6614
TN-1,2292,3535,5827
TN-2,2413,4026,6439
TN-3,3657,5677,9334
TN-4,2263,2971,5234
TN-5,2430,3945,6375
TN-6,3499,4330,7829
TN-7,4194,6734,10928
TN-8,2260,3797,6057
TN-9,4011,6075,10086
TX-1,602,1913,2515
TX-10,147,523,670
TX-11,583,1439,2022
TX-12,350,1187,1537
TX-13,867,2335,3202
TX-14,322,1382,1704
TX-15,3594,5277,8871
TX-16,1090,1873,2963
TX-17,475,1683,2158
TX-18,162,411,573
TX-19,1134,2595,3729
TX-2,859,2893,3752
TX-20,112,299,411
TX-21,524,2330,2854
TX-22,889,4986,5875
TX-23,1421,4410,5831
TX-24,1437,2592,4029
TX-25,457,1683,2140
TX-26,1684,5628,7312
TX-27,575,1340,1915
TX-28,842,1280,2122
TX-29,654,1763,2417
TX-3,1442,6721,8163
TX-30,695,908,1603
TX-31,759,3530,4289
TX-32,733,1309,2042
TX-33,1567,1475,3042
TX-34,1244,2155,3399
TX-35,1296,3468,4764
TX-36,299,1063,1362
TX-4,999,3261,4260
TX-5,2752,3674,6426
TX-6,1396,4064,5460
TX-7,1297,5142,6439
TX-8,738,2359,3097
TX-9,194,637,831
UT-1,6042,2988,9030
UT-2,8454,4283,12737
UT-3,8161,5412,13573
UT-4,2593,1603,4196
VA-1,284,1709,1993
VA-10,751,5681,6432
VA-11,241,1641,1882
VA-2,191,1083,1274
VA-3,554,2061,2615
VA-4,325,1864,2189
VA-5,263,1245,1508
VA-6,319,1588,1907
VA-7,259,1983,2242
VA-8,287,1545,1832
VA-9,129,782,911
VT-A,493,1689,2182
WA-1,587,1820,2407
WA-10,876,1075,1951
WA-2,437,778,1215
WA-3,342,890,1232
WA-4,1074,928,2002
WA-5,496,779,1275
WA-6,337,779,1116
WA-7,391,1441,1832
WA-8,234,508,742
WA-9,820,2294,3114
WI-1,1343,3410,4753
WI-2,1600,5450,7050
WI-3,1011,2996,4007
WI-4,3486,4489,7975
WI-5,1723,4785,6508
WI-6,1004,2853,3857
WI-7,1245,4433,5678
WI-8,1435,5246,6681
WV-1,831,2677,3508
WV-2,1100,2871,3971
WV-3,1446,2192,3638
WY-A,3249,2815,6064
,7434,6430,13864
Total,640954,1282637,1923591

,PSE: Student enrolled in college in Fall 2015,,
Student: Full Congressional district,No,Yes,Total
,N,N,N
AK-A,250,238,488
AL-1,1589,845,2434
AL-2,1096,667,1763
AL-3,1769,1039,2808
AL-4,1280,826,2106
AL-5,1320,802,2122
AL-6,1194,685,1879
AL-7,2015,1303,3318
AR-1,792,778,1570
AR-2,733,896,1629
AR-3,678,791,1469
AR-4,1118,1394,2512
AZ-1,589,373,962
AZ-2,489,382,871
AZ-3,283,365,648
AZ-4,479,451,930
AZ-5,241,294,535
AZ-6,354,436,790
AZ-7,1933,1435,3368
AZ-8,392,518,910
AZ-9,190,181,371
CA-1,95,228,323
CA-10,86,499,585
CA-11,103,427,530
CA-12,52,259,311
CA-13,87,450,537
CA-14,109,518,627
CA-15,26,192,218
CA-16,165,910,1075
CA-17,91,382,473
CA-18,35,145,180
CA-19,78,217,295
CA-2,26,136,162
CA-20,96,554,650
CA-21,158,688,846
CA-22,53,325,378
CA-23,9,49,58
CA-24,76,442,518
CA-25,89,388,477
CA-26,48,317,365
CA-27,123,561,684
CA-28,246,429,675
CA-29,81,161,242
CA-3,58,259,317
CA-30,191,474,665
CA-31,251,833,1084
CA-32,81,349,430
CA-33,74,214,288
CA-34,183,299,482
CA-35,181,672,853
CA-36,118,401,519
CA-37,490,936,1426
CA-38,271,838,1109
CA-39,102,437,539
CA-4,25,153,178
CA-40,331,551,882
CA-41,314,906,1220
CA-42,85,328,413
CA-43,126,454,580
CA-44,409,770,1179
CA-45,78,349,427
CA-46,16,105,121
CA-47,189,738,927
CA-48,108,528,636
CA-49,71,180,251
CA-5,52,278,330
CA-50,148,662,810
CA-51,94,431,525
CA-52,15,82,97
CA-53,111,692,803
CA-6,199,773,972
CA-7,49,210,259
CA-8,67,289,356
CA-9,121,506,627
CO-1,1294,723,2017
CO-2,730,393,1123
CO-3,1290,749,2039
CO-4,1203,641,1844
CO-5,947,498,1445
CO-6,1799,1209,3008
CO-7,830,545,1375
CT-1,37,148,185
CT-2,30,147,177
CT-3,25,174,199
CT-4,38,181,219
CT-5,31,144,175
DC-A,49,127,176
DE-A,37,131,168
FL-1,570,419,989
FL-10,1333,1164,2497
FL-11,538,462,1000
FL-12,369,417,786
FL-13,255,300,555
FL-14,694,661,1355
FL-15,428,341,769
FL-16,535,476,1011
FL-17,384,370,754
FL-18,391,420,811
FL-19,602,590,1192
FL-2,477,390,867
FL-20,1198,1313,2511
FL-21,625,955,1580
FL-22,124,133,257
FL-23,501,860,1361
FL-24,641,606,1247
FL-25,1023,1351,2374
FL-26,580,951,1531
FL-27,402,446,848
FL-3,427,379,806
FL-4,309,294,603
FL-5,1006,615,1621
FL-6,444,435,879
FL-7,372,431,803
FL-8,662,647,1309
FL-9,541,528,1069
GA-1,196,357,553
GA-10,216,465,681
GA-11,92,162,254
GA-12,246,483,729
GA-13,601,919,1520
GA-14,400,659,1059
GA-2,349,644,993
GA-3,211,350,561
GA-4,465,856,1321
GA-5,206,225,431
GA-6,134,350,484
GA-7,74,199,273
GA-8,139,265,404
GA-9,362,719,1081
HI-1,694,705,1399
HI-2,746,544,1290
IA-1,192,633,825
IA-2,290,539,829
IA-3,256,662,918
IA-4,238,711,949
ID-1,173,254,427
ID-2,245,355,600
IL-1,490,303,793
IL-10,60,107,167
IL-11,1874,1742,3616
IL-12,1033,786,1819
IL-13,771,574,1345
IL-14,1794,1961,3755
IL-15,1153,905,2058
IL-16,1248,1004,2252
IL-17,963,814,1777
IL-18,578,499,1077
IL-2,1603,1470,3073
IL-3,817,1088,1905
IL-4,3819,3775,7594
IL-5,214,277,491
IL-6,36,47,83
IL-7,360,248,608
IL-8,1923,2042,3965
IL-9,446,873,1319
IN-1,454,515,969
IN-2,115,242,357
IN-3,91,286,377
IN-4,85,237,322
IN-5,173,418,591
IN-6,88,246,334
IN-7,190,396,586
IN-8,114,318,432
IN-9,228,313,541
KS-1,547,769,1316
KS-2,274,492,766
KS-3,493,636,1129
KS-4,389,606,995
KY-1,1393,897,2290
KY-2,2558,1400,3958
KY-3,1018,568,1586
KY-4,1569,1022,2591
KY-5,1969,1267,3236
KY-6,1247,662,1909
LA-1,828,701,1529
LA-2,1969,1711,3680
LA-3,1721,1313,3034
LA-4,1260,892,2152
LA-5,1837,1282,3119
LA-6,1049,774,1823
MA-1,10,89,99
MA-2,21,106,127
MA-3,24,136,160
MA-4,16,97,113
MA-5,27,163,190
MA-6,36,130,166
MA-7,42,167,209
MA-8,23,136,159
MA-9,16,89,105
MD-1,19,87,106
MD-2,47,155,202
MD-3,23,72,95
MD-4,79,248,327
MD-5,68,171,239
MD-6,45,131,176
MD-7,11,29,40
MD-8,75,267,342
ME-1,13,39,52
ME-2,15,14,29
MI-1,991,714,1705
MI-10,1206,1126,2332
MI-11,467,464,931
MI-12,1354,1180,2534
MI-13,1047,662,1709
MI-14,1905,1237,3142
MI-2,989,655,1644
MI-3,1799,1048,2847
MI-4,1249,727,1976
MI-5,687,508,1195
MI-6,1158,692,1850
MI-7,877,686,1563
MI-8,1022,844,1866
MI-9,1159,1014,2173
MN-1,305,549,854
MN-2,301,552,853
MN-3,185,331,516
MN-4,426,445,871
MN-5,488,663,1151
MN-6,464,813,1277
MN-7,311,451,762
MN-8,344,330,674
MO-1,761,712,1473
MO-2,215,505,720
MO-3,645,1285,1930
MO-4,465,708,1173
MO-5,345,416,761
MO-6,665,1012,1677
MO-7,462,622,1084
MO-8,520,729,1249
MS-1,752,1303,2055
MS-2,662,1018,1680
MS-3,835,1272,2107
MS-4,853,1176,2029
MT-A,1387,648,2035
NC-1,1123,711,1834
NC-10,1643,1109,2752
NC-11,1139,685,1824
NC-12,500,316,816
NC-13,190,168,358
NC-2,420,268,688
NC-3,1895,1064,2959
NC-4,2162,1287,3449
NC-5,707,463,1170
NC-6,1869,1207,3076
NC-7,1484,980,2464
NC-8,1974,1129,3103
NC-9,1579,1252,2831
ND-A,641,502,1143
NE-1,405,682,1087
NE-2,422,762,1184
NE-3,481,845,1326
NH-1,30,83,113
NH-2,14,79,93
NJ-1,57,131,188
NJ-10,308,321,629
NJ-11,35,147,182
NJ-12,35,100,135
NJ-2,57,163,220
NJ-3,31,116,147
NJ-4,38,194,232
NJ-5,41,216,257
NJ-6,73,185,258
NJ-7,54,251,305
NJ-8,400,420,820
NJ-9,83,222,305
NM-1,226,490,716
NM-2,768,1223,1991
NM-3,420,537,957
NV-1,104,133,237
NV-2,340,498,838
NV-3,191,344,535
NV-4,349,475,824
NY-1,40,237,277
NY-10,11,74,85
NY-11,40,306,346
NY-12,5,21,26
NY-13,56,242,298
NY-14,46,242,288
NY-15,46,185,231
NY-16,34,171,205
NY-17,44,213,257
NY-18,31,243,274
NY-19,22,85,107
NY-2,41,332,373
NY-20,14,137,151
NY-21,54,149,203
NY-22,39,155,194
NY-23,36,135,171
NY-24,29,163,192
NY-25,25,141,166
NY-26,24,161,185
NY-27,40,145,185
NY-3,44,402,446
NY-4,35,210,245
NY-5,60,254,314
NY-6,18,147,165
NY-7,49,346,395
NY-8,4,18,22
NY-9,56,215,271
OH-1,794,972,1766
OH-10,180,416,596
OH-11,348,307,655
OH-12,374,650,1024
OH-13,560,767,1327
OH-14,283,696,979
OH-15,222,434,656
OH-16,456,783,1239
OH-2,267,381,648
OH-3,549,854,1403
OH-4,392,688,1080
OH-5,355,519,874
OH-6,452,698,1150
OH-7,693,1271,1964
OH-8,401,776,1177
OH-9,429,452,881
OK-1,601,896,1497
OK-2,676,818,1494
OK-3,676,761,1437
OK-4,594,855,1449
OK-5,494,810,1304
OR-1,552,382,934
OR-2,224,158,382
OR-3,265,334,599
OR-4,198,98,296
OR-5,102,203,305
PA-1,18,78,96
PA-10,24,140,164
PA-11,14,79,93
PA-12,31,141,172
PA-13,68,301,369
PA-14,17,54,71
PA-15,45,194,239
PA-16,37,97,134
PA-17,18,83,101
PA-18,49,253,302
PA-2,80,236,316
PA-3,90,195,285
PA-4,36,147,183
PA-5,72,148,220
PA-6,58,260,318
PA-7,18,100,118
PA-8,24,151,175
PA-9,37,111,148
RI-1,16,47,63
RI-2,48,87,135
SC-1,144,194,338
SC-2,227,550,777
SC-3,133,337,470
SC-4,204,442,646
SC-5,166,417,583
SC-6,407,686,1093
SC-7,234,552,786
SD-A,415,772,1187
TN-1,881,824,1705
TN-2,775,669,1444
TN-3,1292,1235,2527
TN-4,852,659,1511
TN-5,819,908,1727
TN-6,1483,1114,2597
TN-7,1378,1149,2527
TN-8,1051,923,1974
TN-9,1475,1377,2852
TX-1,209,416,625
TX-10,41,113,154
TX-11,233,337,570
TX-12,61,157,218
TX-13,243,442,685
TX-14,81,216,297
TX-15,1216,1604,2820
TX-16,254,382,636
TX-17,161,332,493
TX-18,46,116,162
TX-19,400,681,1081
TX-2,181,455,636
TX-20,25,60,85
TX-21,59,166,225
TX-22,170,619,789
TX-23,335,729,1064
TX-24,472,448,920
TX-25,124,263,387
TX-26,251,474,725
TX-27,164,233,397
TX-28,420,484,904
TX-29,297,749,1046
TX-3,190,451,641
TX-30,244,258,502
TX-31,141,384,525
TX-32,195,149,344
TX-33,785,614,1399
TX-34,434,673,1107
TX-35,343,775,1118
TX-36,91,231,322
TX-4,350,676,1026
TX-5,1168,1154,2322
TX-6,365,733,1098
TX-7,255,606,861
TX-8,145,288,433
TX-9,85,204,289
UT-1,1340,445,1785
UT-2,2428,848,3276
UT-3,1334,498,1832
UT-4,627,249,876
VA-1,39,146,185
VA-10,49,281,330
VA-11,34,179,213
VA-2,32,81,113
VA-3,132,293,425
VA-4,52,171,223
VA-5,33,126,159
VA-6,45,200,245
VA-7,37,144,181
VA-8,42,192,234
VA-9,27,128,155
VT-A,68,175,243
WA-1,95,159,254
